Atom,MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density,Specific Capacity
Li,6.94,0.98,0.76,0.52,2,0.1,0.85,0.1,267.6156
Li,6.94,0.98,0.76,0.52,2,0.1,0.85,0.3,265.55612
Li,6.94,0.98,0.76,0.52,2,0.1,0.85,0.5,243.04897
Li,6.94,0.98,0.76,0.52,2,0.1,0.85,1,177.43989
Li,6.94,0.98,0.76,0.52,2,0.1,0.85,2,99.62106
Li,6.94,0.98,0.76,0.52,2,0.1,0.85,3,70.93547
Li,6.94,0.98,0.76,0.026,2,0.1,1,0.1,184
Li,6.94,0.98,0.76,0.026,2,0.1,1,0.2,134.80789
Li,6.94,0.98,0.76,0.026,2,0.1,1,0.5,69.63655
Li,6.94,0.98,0.76,0.026,2,0.1,1,1,30.50883
Na,22.99,0.93,1.02,0.43,2,0.1,0.85,0.1,273.79403
Na,22.99,0.93,1.02,0.43,2,0.1,0.85,0.3,267.6156
Na,22.99,0.93,1.02,0.43,2,0.1,0.85,0.5,263.49664
Na,22.99,0.93,1.02,0.43,2,0.1,0.85,1,216.42286
Na,22.99,0.93,1.02,0.43,2,0.1,0.85,2,126.24716
Na,22.99,0.93,1.02,0.43,2,0.1,0.85,3,87.26419
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,0.308,273.6745
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,0.616,231.43404
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,1.232,185.62782
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,1.848,161
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,2.464,139.82161
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,3.08,128.30148
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,3.696,120.6214
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,4.928,109.10127
Na,22.99,0.93,1.02,0.22,2,0.2,0.9,6.16,97.58115
Na,22.99,0.93,1.02,0.15,2,0.1,0.8,0.1,381.8
Na,22.99,0.93,1.02,0.15,2,0.1,0.8,0.3,317.58668
Na,22.99,0.93,1.02,0.15,2,0.1,0.8,0.5,298.42609
Na,22.99,0.93,1.02,0.15,2,0.1,0.8,1,258.5
Na,22.99,0.93,1.02,0.15,2,0.1,0.8,2,167.38139
Na,22.99,0.93,1.02,0.15,2,0.1,0.8,3,94.8
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,0.1,370.01759
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,0.2,327.66836
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,0.5,262.21118
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,1,179.99843
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,2,122.27458
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,3,90.1444
Al,26.98,1.61,0.535,0.045,2,0.2,0.9,5,58.01422
K,39.09,0.82,1.38,0.19,3,0,1.6,10,43.39924
K,39.09,0.82,1.38,0.19,3,0,1.6,8,51.27304
K,39.09,0.82,1.38,0.19,3,0,1.6,6,58.70767
K,39.09,0.82,1.38,0.19,3,0,1.6,4,68.77736
K,39.09,0.82,1.38,0.19,3,0,1.6,2,87.5992
K,39.09,0.82,1.38,0.19,3,0,1.6,1,107.7072
K,39.09,0.82,1.38,0.42,2,0.1,0.85,0.1,273.79403
K,39.09,0.82,1.38,0.42,2,0.1,0.85,0.3,290.12274
K,39.09,0.82,1.38,0.42,2,0.1,0.85,0.5,261.43716
K,39.09,0.82,1.38,0.42,2,0.1,0.85,1,216.42286
K,39.09,0.82,1.38,0.42,2,0.1,0.85,2,126.24716
K,39.09,0.82,1.38,0.42,2,0.1,0.85,3,87.26419
K,39.09,0.82,1.38,0.14,2,0.1,1,0.1,288.8
K,39.09,0.82,1.38,0.14,2,0.1,1,0.2,252.85322
K,39.09,0.82,1.38,0.14,2,0.1,1,0.4,216.75118
K,39.09,0.82,1.38,0.14,2,0.1,1,0.6,188.10735
K,39.09,0.82,1.38,0.14,2,0.1,1,0.8,145.84419
K,39.09,0.82,1.38,0.14,2,0.1,1,1,85.7
K,39.09,0.82,1.38,0.29,2.5,0.2,0.9,0.2,300
K,39.09,0.82,1.38,0.29,2.5,0.2,0.9,0.5,256.57363
K,39.09,0.82,1.38,0.29,2.5,0.2,0.9,1,219
K,39.09,0.82,1.38,0.29,2.5,0.2,0.9,1.5,189.10147
K,39.09,0.82,1.38,0.29,2.5,0.2,0.9,2,156.53446
K,39.09,0.82,1.38,0.29,2.5,0.2,0.9,3,136
K,39.09,0.82,1.38,0.19,3,0.2,1.1,0.308,270
K,39.09,0.82,1.38,0.19,3,0.2,1.1,0.616,247.0476
K,39.09,0.82,1.38,0.19,3,0.2,1.1,0.924,213.46884
K,39.09,0.82,1.38,0.19,3,0.2,1.1,1.54,176.52018
K,39.09,0.82,1.38,0.19,3,0.2,1.1,3.08,141.37682
K,39.09,0.82,1.38,0.19,3,0.2,1.1,6.16,113
K,39.09,0.82,1.38,0.07,3,0.2,1.1,0.308,238.62282
K,39.09,0.82,1.38,0.07,3,0.2,1.1,0.616,178.20513
K,39.09,0.82,1.38,0.07,3,0.2,1.1,0.924,127.89717
K,39.09,0.82,1.38,0.07,3,0.2,1.1,1.54,84.20869
K,39.09,0.82,1.38,0.15,2,0.1,1,0.1,351.44317
K,39.09,0.82,1.38,0.15,2,0.1,1,0.2,301.22337
K,39.09,0.82,1.38,0.15,2,0.1,1,0.4,248.60398
K,39.09,0.82,1.38,0.15,2,0.1,1,0.8,191.35682
K,39.09,0.82,1.38,0.15,2,0.1,1,1.6,131.53869
K,39.09,0.82,1.38,0.15,2,0.1,1,2,112.51344
K,39.09,0.82,1.38,0.23,2,0.1,1,0.05,327.61876
K,39.09,0.82,1.38,0.23,2,0.1,1,0.1,267.80063
K,39.09,0.82,1.38,0.23,2,0.1,1,0.2,217.58082
K,39.09,0.82,1.38,0.23,2,0.1,1,0.4,174.55975
K,39.09,0.82,1.38,0.23,2,0.1,1,0.8,133.93827
K,39.09,0.82,1.38,0.23,2,0.1,1,1.6,90.91721
K,39.09,0.82,1.38,0.23,2,0.1,1,2,81.31888
K,39.09,0.82,1.38,0.18,2,0.4,1.1,0.1,373.1
K,39.09,0.82,1.38,0.18,2,0.4,1.1,0.5,268.88261
K,39.09,0.82,1.38,0.18,2,0.4,1.1,1,213.6
K,39.09,0.82,1.38,0.18,2,0.4,1.1,2,153.10694
K,39.09,0.82,1.38,0.18,2,0.4,1.1,3,108.8
K,39.09,0.82,1.38,0.18,2,0.4,1.1,5,71.38293
K,39.09,0.82,1.38,0.112,3,0.2,1,2.464,97.81916
K,39.09,0.82,1.38,0.112,3,0.2,1,1.848,111.3562
K,39.09,0.82,1.38,0.112,3,0.2,1,1.232,135.36387
K,39.09,0.82,1.38,0.112,3,0.2,1,0.616,173.88086
K,39.09,0.82,1.38,0.112,3,0.2,1,0.308,211.42557
K,39.09,0.82,1.38,0.112,3,0.2,1,0.154,232.29205
K,39.09,0.82,1.38,0.112,3,0.2,1,0.077,245.82909
K,39.09,0.82,1.38,0.1,2,0.1,0.8,0.1,330.40216
K,39.09,0.82,1.38,0.1,2,0.1,0.8,0.2,265.96852
K,39.09,0.82,1.38,0.1,2,0.1,0.8,0.5,188.98939
K,39.09,0.82,1.38,0.1,2,0.1,0.8,1,128.77104
K,39.09,0.82,1.38,0.1,2,0.1,0.8,2,90.93384
Ca,40.08,1,0.99,0.28,1,0.1,1.5,0.175,298
Ca,40.08,1,0.99,0.28,1,0.1,1.5,0.35,277.7
Ca,40.08,1,0.99,0.28,1,0.1,1.5,3.5,124.5
Ca,40.08,1,0.99,0.28,1,0.1,1.5,0.7,229.50492
Ca,40.08,1,0.99,0.28,1,0.1,1.5,1.4,179.33579
Ca,40.08,1,0.99,0.28,1,0.1,1.5,2.1,140.35978
Ca,40.08,1,0.99,0.28,1,0.1,1.5,2.8,126.56827
V,50.94,1.63,0.59,0.05,1,0,0.8,0.066,233
V,50.94,1.63,0.59,0.05,1,0,0.8,0.133,202
V,50.94,1.63,0.59,0.05,1,0,0.8,0.266,150
V,50.94,1.63,0.59,0.05,1,0,0.8,0.532,98
V,50.94,1.63,0.59,0.05,1,0,0.8,1.064,67
V,50.94,1.63,0.59,0.07,2,0,0.9,0.2,194
V,50.94,1.63,0.59,0.07,2,0,0.9,2,74
V,50.94,1.63,0.59,0.07,2,0,0.9,1,113
Fe,55.85,1.83,0.645,0.0015,2,0.1,0.9,0.1,390
Fe,55.85,1.83,0.645,0.0015,2,0.1,0.9,0.5,370
Fe,55.85,1.83,0.645,0.0015,2,0.1,0.9,1,320
Fe,55.85,1.83,0.645,0.0015,2,0.1,0.9,2,230
Fe,55.85,1.83,0.645,0.0015,2,0.1,0.9,3,160
Fe,55.85,1.83,0.645,0.0208,2,0.2,0.8,0.1,159.85938
Fe,55.85,1.83,0.645,0.0208,2,0.2,0.8,0.2,158.62654
Fe,55.85,1.83,0.645,0.0208,2,0.2,0.8,0.5,113.18756
Fe,55.85,1.83,0.645,0.0208,2,0.2,0.8,1,59.1187
Fe,55.85,1.83,0.645,0.0208,2,0.2,0.8,2,51.72165
Fe,55.85,1.83,0.645,0.0208,2,0.2,0.8,5,35.78279
Fe,55.85,1.83,0.645,0.1958,3,0.2,0.9,0.1,227.49115
Fe,55.85,1.83,0.645,0.1958,3,0.2,0.9,0.3,196.9358
Fe,55.85,1.83,0.645,0.1958,3,0.2,0.9,0.5,175.57991
Fe,55.85,1.83,0.645,0.1958,3,0.2,0.9,1,146.66733
Fe,55.85,1.83,0.645,0.1958,3,0.2,0.9,3,97.82258
Ni,58.69,1.91,0.69,0.1932,3,0.2,0.9,0.1,187.84586
Ni,58.69,1.91,0.69,0.1932,3,0.2,0.9,0.3,178.6464
Ni,58.69,1.91,0.69,0.1932,3,0.2,0.9,0.5,158.82376
Ni,58.69,1.91,0.69,0.1932,3,0.2,0.9,1,128.26841
Ni,58.69,1.91,0.69,0.1932,3,0.2,0.9,3,81.06643
Co,58.93,1.88,0.745,0.063,2,0.2,0.85,5,125
Co,58.93,1.88,0.745,0.063,2,0.2,0.85,0.5,361.33462
Co,58.93,1.88,0.745,0.063,2,0.2,0.85,1,293.02417
Co,58.93,1.88,0.745,0.063,2,0.2,0.85,2,210.29263
Co,58.93,1.88,0.745,0.063,2,0.2,0.85,3,166.4601
Co,58.93,1.88,0.745,0.063,2,0.2,0.85,4,141.98219
Cu,63.55,1.9,0.73,0.1,2,0.2,1.1,0.1,398.2
Cu,63.55,1.9,0.73,0.1,2,0.2,1.1,0.2,322.8
Cu,63.55,1.9,0.73,0.1,2,0.2,1.1,0.5,279.3
Cu,63.55,1.9,0.73,0.1,2,0.2,1.1,1,224.9
Cu,63.55,1.9,0.73,0.1,2,0.2,1.1,2,178.3
Cu,63.55,1.9,0.73,0.1,2,0.2,1.1,5,124.9
Cu,63.55,1.9,0.73,0.06,2,0.1,1.1,0.1,349.3
Cu,63.55,1.9,0.73,0.06,2,0.1,1.1,0.2,354.00763
Cu,63.55,1.9,0.73,0.06,2,0.1,1.1,0.4,314.25859
