MW,EN,RC,Ratio,Zn2+,Mn2+,Potential Windows,Current Density
208.98,2.02,1.03,0.09,2.0,0.2,0.8,0.1
208.98,2.02,1.03,0.03,2.0,0.2,0.8,0.4
63.55,1.9,0.73,0.0595,2.0,0.2,1.1,2.0
6.94,0.98,0.76,0.026,2.0,0.1,1.0,1.0
39.09,0.82,1.38,0.15,2.0,0.1,1.0,2.0
208.98,2.02,1.03,0.06,2.0,0.2,0.8,1.5
39.09,0.82,1.38,0.112,3.0,0.2,1.0,1.232
40.08,1.0,0.99,0.28,1.0,0.1,1.5,2.8
6.94,0.98,0.76,0.52,2.0,0.1,0.85,3.0
88.9,1.22,0.9,0.0046,3.0,0.1,1.0,0.4
39.09,0.82,1.38,0.112,3.0,0.2,1.0,0.077
104.86,1.93,1.26,0.1,2.0,0.1,1.0,2.0
95.94,2.16,0.65,0.0155,2.0,0.1,0.9,0.6
63.55,1.9,0.73,0.06,2.0,0.1,1.1,0.8
39.09,0.82,1.38,0.29,2.5,0.2,0.9,0.5
39.09,0.82,1.38,0.29,2.5,0.2,0.9,2.0
63.55,1.9,0.73,0.1,2.0,0.2,1.1,0.5
40.08,1.0,0.99,0.28,1.0,0.1,1.5,2.1
39.09,0.82,1.38,0.19,3.0,0.2,1.1,0.616
58.93,1.88,0.745,0.063,2.0,0.2,0.85,0.5
63.55,1.9,0.73,0.06,2.0,0.1,1.1,1.2
40.08,1.0,0.99,0.28,1.0,0.1,1.5,0.35
151.96,1.2,0.947,0.05,2.0,0.1,1.1,0.8
39.09,0.82,1.38,0.42,2.0,0.1,0.85,0.5
39.09,0.82,1.38,0.19,3.0,0.0,1.6,2.0
208.98,2.02,1.03,0.06,2.0,0.2,0.8,0.6
208.98,2.02,1.03,0.06,2.0,0.2,0.8,3.0
50.94,1.63,0.59,0.07,2.0,0.0,0.9,2.0
138.91,1.1,1.064,0.006,1.0,0.4,1.1,0.4
151.96,1.2,0.947,0.1,2.0,0.1,1.1,0.6
22.99,0.93,1.02,0.22,2.0,0.2,0.9,0.616
151.96,1.2,0.947,0.067,2.0,0.1,1.1,0.2
26.98,1.61,0.535,0.045,2.0,0.2,0.9,0.5
22.99,0.93,1.02,0.22,2.0,0.2,0.9,6.16
39.09,0.82,1.38,0.42,2.0,0.1,0.85,0.3
6.94,0.98,0.76,0.026,2.0,0.1,1.0,0.2
50.94,1.63,0.59,0.05,1.0,0.0,0.8,0.532
104.86,1.93,1.26,0.1,2.0,0.1,1.0,1.0
50.94,1.63,0.59,0.05,1.0,0.0,0.8,0.133
39.09,0.82,1.38,0.112,3.0,0.2,1.0,1.848
39.09,0.82,1.38,0.15,2.0,0.1,1.0,0.8
39.09,0.82,1.38,0.23,2.0,0.1,1.0,0.8
55.85,1.83,0.645,0.0015,2.0,0.1,0.9,0.1
39.09,0.82,1.38,0.15,2.0,0.1,1.0,1.6
55.85,1.83,0.645,0.1958,3.0,0.2,0.9,0.1
104.86,1.93,1.26,0.054,2.0,0.2,0.8,0.2
138.91,1.1,1.064,0.015,1.0,0.4,1.1,1.6
208.98,2.02,1.03,0.09,2.0,0.2,0.8,2.0
138.91,1.1,1.064,0.017,1.0,0.4,1.1,0.4
95.94,2.16,0.65,0.025,2.0,0.2,1.3,0.5
58.93,1.88,0.745,0.063,2.0,0.2,0.85,4.0
95.94,2.16,0.65,0.0155,2.0,0.1,0.9,1.0
39.09,0.82,1.38,0.23,2.0,0.1,1.0,2.0
151.96,1.2,0.947,0.05,2.0,0.1,1.1,1.0
208.98,2.02,1.03,0.06,2.0,0.2,0.8,1.0
39.09,0.82,1.38,0.15,2.0,0.1,1.0,0.2
151.96,1.2,0.947,0.05,2.0,0.1,1.1,0.2
22.99,0.93,1.02,0.15,2.0,0.1,0.8,0.1
138.91,1.1,1.064,0.015,1.0,0.4,1.1,1.2
39.09,0.82,1.38,0.29,2.5,0.2,0.9,1.5
